immeubles_appellation_courante,immeubles_date_siecle,immeubles_adresse,immeubles_reference,immeubles_lat,immeubles_long,immeubles_coordonnees_finales,immeubles_geopoint,nom_realisateur,nationalite_realisateur,date_naissance_realisateur,id_lieu_tournage,annee_tournage,type_tournage,nom_tournage,nom_producteur,adresse_lieu,ardt_lieu,tournage_debut,tournage_duree,tournage_fin,coord_x,coord_y,filmLabel,imdbID,visa,cost,geopoint_tournage,id_lieu_tournage_count
,,,,,,,,Tonie Marshall,United States,1951-11-29T00:00:00Z,2016-1051,2016,Long métrage,NUMERO UNE,Tabo Tabo Films,38bis  Rue  Fabert,75007,2016-11-24T00:00:00.000Z,1,2016-11-24T00:00:00.000Z,2.31117,48.85938,,,,,POINT(48.85938 2.31117),1
,,,,,,,,Éric Rochant,France,1961-02-24T00:00:00Z,2016-1052,2016,Série TV,BUREAU DES LEGENDES/ N°1 A 8,The Oligarchs Productions,7/10  Rue  Des Immeubles Industriels,75011,2016-01-19T00:00:00.000Z,1,2016-01-19T00:00:00.000Z,2.392785,48.849611,,,,,POINT(48.849611 2.392785),1
,,,,,,,,Fred Garson,France,2000-01-01T00:00:00Z,2016-1053,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,45  Rue  Du Cardinal Lemoine,75005,2016-02-16T00:00:00.000Z,4,2016-02-19T00:00:00.000Z,2.35259,48.847118,,,,,POINT(48.847118 2.35259),1
,,,,,,,,Alfred Lot,France,1964-10-01T00:00:00Z,2016-1054,2016,Série TV,EMMA,Mandarin Cinema,55  Avenue  De Saxe,75007,2016-02-19T00:00:00.000Z,1,2016-02-19T00:00:00.000Z,2.31276,48.846804,,,,,POINT(48.846804 2.31276),1
,,,,,,,,Fred Garson,France,2000-01-01T00:00:00Z,2016-1055,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,Pont  De La Concorde,75008,2016-03-30T00:00:00.000Z,1,2016-03-30T00:00:00.000Z,2.3218769999999997,48.867065,,,,,POINT(48.867065 2.3218769999999997),1
,,,,,,,,Arnaud Malherbe,France,1972-09-21T00:00:00Z,2016-1057,2016,Série TV,CHEFS,Calt Production,Quai  Et Rue De L'hotel De Ville,75004,2016-07-02T00:00:00.000Z,1,2016-07-02T00:00:00.000Z,2.354243,48.854811,,,,,POINT(48.854811 2.354243),1
,,,,,,,,,,,2016-1058,2016,Série TV,BLACKPILLS/RAISING HITLER,Together Media 2,Terre Plein  Central Boulevard Edgar Quinet,75014,2016-09-26T00:00:00.000Z,1,2016-09-26T00:00:00.000Z,2.326543,48.840764,,,,,POINT(48.840764 2.326543),1
,,,,,,,,,,,2016-1059,2016,Série TV,MANTE,Septembre Productions,12  Place  De La Nation,75012,2016-10-04T00:00:00.000Z,1,2016-10-04T00:00:00.000Z,2.395133,48.847357,,,,,POINT(48.847357 2.395133),1
,,,,,,,,Fred Garson,France,2000-01-01T00:00:00Z,2016-106,2016,Série TV,S HOMMES DE L'OMBRE,Macondo,244  Rue  De Rivoli,75001,2016-03-31T00:00:00.000Z,1,2016-03-31T00:00:00.000Z,2.325289,48.866055,,,,,POINT(48.866055 2.325289),1
,,,,,,,,,,,2016-1060,2016,Série TV,ALICE NEVERS,Ego Production,Rue  Des Petites Ecuries,75010,2016-10-11T00:00:00.000Z,1,2016-10-11T00:00:00.000Z,2.351311,48.873662,,,,,POINT(48.873662 2.351311),1
,,,,,,,,,,,2016-1061,2016,Série TV,MUNCH,Exilene Films,25  Allee  Celestin Hennion,75004,2016-10-28T00:00:00.000Z,1,2016-10-28T00:00:00.000Z,2.36038,48.852341,,,,,POINT(48.852341 2.36038),1
,,,,,,,,,,,2016-1062,2016,Série TV,ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87,Ego Production,10  Boulevard  Du Palais,75001,2016-12-02T00:00:00.000Z,1,2016-12-02T00:00:00.000Z,2.345426,48.854983,,,,,POINT(48.854983 2.345426),1
,,,,,,,,David Michôd,Australia,1972-11-30T00:00:00Z,2016-1063,2016,Long métrage,WAR MACHINE,Firstep,Rue  Scribe,75009,2016-01-30T00:00:00.000Z,1,2016-01-30T00:00:00.000Z,2.330266,48.871465,WAR MACHINE,tt4758646,,,POINT(48.871465 2.330266),1
,,,,,,,,Jalil Lespert,France,1976-09-18T00:00:00Z,2016-1064,2016,Long métrage,IRIS/EX CHAOS,Wy Productions,Rue  Du Faubourg Du Temple,75010,2016-02-01T00:00:00.000Z,1,2016-02-01T00:00:00.000Z,2.371298,48.870163,,,,,POINT(48.870163 2.371298),1
,,,,,,,,Lucien Jean-Baptiste,France,1978-01-01T00:00:00Z,2016-1065,2016,Long métrage,IL A DEJA TES YEUX,Nolita Cinema,Avenue  Prudhon,75016,2016-02-08T00:00:00.000Z,1,2016-02-08T00:00:00.000Z,2.281698,48.870509,,,,,POINT(48.870509 2.281698),1
,,,,,,,,Guillaume Canet,France,1973-04-10T00:00:00Z,2016-1066,2016,Long métrage,GC5,Les Productions Du Tresor,6  Rue  Fontaine,75009,2016-02-15T00:00:00.000Z,1,2016-02-15T00:00:00.000Z,2.334921,48.880776,,,,,POINT(48.880776 2.334921),1
Restaurant Prunier,20e siècle,16 avenue Victor-Hugo ; 1 rue de Traktir,PA00086711,2.29169822684564,48.8725624738058,"48.8725624738,2.29169822685",POINT(48.8725624738058 2.29169822684564),Nicolas Bedos,France,1979-04-21T00:00:00Z,2016-1067,2016,Long métrage,MONSIEUR ET MADAME ADELMAN,Les Films Du Kiosque,16  Avenue  Victor Hugo,75016,2016-03-01T00:00:00.000Z,1,2016-03-01T00:00:00.000Z,2.291848,48.872476,MONSIEUR ET MADAME ADELMAN,tt6095616,,,POINT(48.872476 2.291848),1
